Write down four words to describe how you're feeling about this course. Separate your four words by commas.,Write down one word to describe how *you* think the majority of your classmates are feeling.,Write down one word to describe how *you* think the instructors are feeling.
"Apprehensive, unsure, so-so, motivated",Confident,Excited
"Expected, curious, uncertain, excited",Curious,Confident
"interested, unsure, excited, enthusiastic",confused,excited
"nervous, curious, excited, anxious",nervous,excited
"Unsure, nervous, unique, scared",Confident ,Composed 
"tentative, open-minded","ambivalent, relieved","stressed, excited"
"curious, nervous, optimistic, worried",curious,interested
"Excited, Nervous, unprepared, positive",Excited,Confident
"Intrigued, unsure, excited, ready",Unsure,Excited
"nervous, apprehensive, excited, cautious",nervous,excited
"Curious, interested, nervous, anxious",Indifferent,Dedicated
"Excited, Ready, Curious, Happy",Excited,Proud
"excited, nervous, curious, hopeful",nervous,keen
exciting,exciting,exciting
"Excited, Curious, Nervous, Unsure",Curious,Anticipation
"excited, scared, pessimistic , anxious",excited,optimistic
"Happy,interested,excited,nervous",Excited,Happy
interesting easy agog useful,difficult,boring
"Motivated, excited, worried, nervous",Excited,Excited
"Interested, Anxious, Stressed, Unknown",Excited,Prepared
"excited, determined, social, teachable",social,bored
"happy,excited,jpy,nervous",nervous,excited
"Curious, motivated, nervous, hopeful",Uncertain,Enthusiastic
"Fun, Useful, Excited, Cooperative ",Fun,Confident
"Nervous, excited, happy, intrigued ",Excited ,Excited 
"Excited, Nervous, Scared, Shy",Nervous,Excited
"Nervous, expectant, excited, interested",nervous,expectant
"Expectation, practice, team, exercise",earnest,expect
"Stressed, sigh, overwhelmed, overthinking ",Overwhelmed ,Excited 
nervous,curious,excited
"Excited, apprehensive, ready, intrigued ",Unsure,Excited
"excited, chill, worried, fine",worried,excited
"nervous, curious, excited, stress ",nervous,excited
"excited, uncertain, curious, cumulative ",unsure,curious
"Nervous, anticipated, worried, curious",Nervous,Knowledgeable
"expect, nervous, curious, engaged",Nervous,Exciting
"excited, nervous, thankful, happy ",nervous ,excited 
exciting,wait and see,gladly welcome the new students
"Excited, curious, relaxed, interested ",Nervous ,Excited 
"excited, confused, unknown, nervous ",excited ,expect 
"nervous, excited, interesting, curious",Nervous,Excited
"excited, nervous, curious, anxious",nervous,excited
"Sad, Nervous, Tired, Anxious ",Nervous ,Happy
excited,excited to finish,also excited 
"Nervous, excited, passionate, enthusiastic ",Excited,Passionate
"Unsure, nervous, curious, bad teammates tanking grade",unsure,excited
"Curious, looking forward to, happy, excited",expected,happy
"interesting, cooperative, important, useful",anticipation,ready
"Excited, nervous, beneficial, keen",Nervous,Excited
"Excited,nervous, enthusiastic,hopeful",Excited ,Enthusiastic 
"Worried, curious, anxious, lost",nervous,Motivated
confused ， curious， excited， nervous,curious,excited
cooperate with each others,difficult,happy
"Curious, excited, excited, nervous.",Curious,excited
"Nervous, worried, curious, stressed ",Worried,Curious 
excited nervous curiosity interested,interested,curiosity
"Curious, confident, exploring, collaborative",Curious,Anticipating
"Scared, Nervous, Uneasy, ​Concerned",Anxious,Determined
"Neutral, anticipation, excitement, motivated",Excited ,Eager
"excited, enthusiastic, nervous, ready",nervous,excited
"excited, nervous, ready, stressed",nervous ,excited
"Nervous, worried, curious, excited",Excited?????,Excited???
excited,confused,tired
"Worried, excited, nervous, new",Wondering ,Welcoming 
"nervous, unsure, stressful, overwhelming",indifferent,excited
"nervous, difficulty, curious, excited",curious,excited
"Excited, useful, nervous, hardworking",hardworking,Calm
"Excited,worried,ready,confused",Anxious,Prepared
"Nervous, excited, scared, hopeful ",Nervous,Repeated
"Unsure, interested, motivated, hopeful",Anxious,Hopeful
"Interesting,Confused,Curious,Anticipating",Anticipating,Anticipating
cool scary chill active,chill,chill
"Anxious, nervous, hopeful, ready",Anxious,Hopeful
"Excited, nervous, Challenging, Difficult",Nervous,Excited
nervous excited afraid curious,nerivous,normally
"unknown,expected,doubtful,hopeful",eager,good
"Unsure, excited, confused, interested ",Nervous,Excited
"analytical, communication , organisation, presentations",nervous,expect
"Nervous, excited, worried, optimistic ",Excited ,Excited
"confused, open, interested, anxious ",confused ,prepared 
"excited, nervous, curious, optimistic",excited,optimistic
"multi task, hard, tedious?, challenge",challenge,happy
"Excited, interested, aprehensive, curious",Depressed,Scared
"Nervous, challenging, practical, complicate",nice,enthusiastic 
"excited, buzzing, nervous, confused",nervous,Good
"worried, concerned, dread, hope",excited,excited
"Interested, Ready, Anticipation, Team",Unsure,Excited
